sites,type,sfs
0,Draw,576977.0457
1,Draw,45584.32847
2,Draw,26634.40176
3,Draw,20160.60827
4,Draw,16998.48046
5,Draw,15210.1172
6,Draw,14132.39389
7,Draw,13476.88299
8,Draw,13098.36271
9,Draw,12916.20394
10,Draw,12882.49342
11,Draw,12967.39153
12,Draw,13151.75101
13,Draw,13423.11804
14,Draw,13773.43783
15,Draw,14197.67566
16,Draw,14692.95644
17,Draw,15258.01104
18,Draw,15892.81151
19,Draw,16598.3264
20,Draw,17376.35483
21,Draw,18229.41364
22,Draw,19160.66125
23,Draw,20173.84742
24,Draw,21273.28185
25,Draw,22463.8167
26,Draw,23750.83962
27,Draw,25140.275
28,Draw,26638.59161
29,Draw,28252.81545
30,Draw,29990.54687
31,Draw,31859.9812
32,Draw,33869.9324
33,Draw,36029.85915
34,Draw,38349.89309
35,Draw,40840.86875
36,Draw,43514.35486
37,Draw,46382.68659
38,Draw,49458.99849
39,Draw,52757.25741
40,Draw,56292.29517
41,Draw,60079.8402
42,Draw,64136.54761
43,Draw,68480.02667
44,Draw,73128.86505
45,Draw,78102.64837
46,Draw,83421.97403
47,Draw,89108.4575
48,Draw,95184.72938
49,Draw,101674.421
50,Draw,108602.1357
51,Draw,115993.4035
52,Draw,123874.6143
53,Draw,132272.9267
54,Draw,141216.1459
55,Draw,150732.566
56,Draw,160850.7689
57,Draw,171599.3708
58,Draw,183006.707
59,Draw,195100.4426
60,Draw,207907.0938
61,Draw,221451.4436
62,Draw,235755.829
63,Draw,250839.2753
64,Draw,266716.4457
65,Draw,283396.367
66,Draw,300880.8842
67,Draw,319162.7843
68,Draw,338223.5145
69,Draw,358030.4003
70,Draw,378533.2409
71,Draw,399660.1242
72,Draw,421312.2535
73,Draw,443357.5061
74,Draw,465622.3448
75,Draw,487881.5533
76,Draw,509845.0458
77,Draw,531140.6531
78,Draw,551291.236
79,Draw,569683.5573
80,Draw,585524.7432
81,Draw,597779.2478
82,Draw,605073.5489
83,Draw,605543.9083
84,Draw,596575.1644
85,Draw,574307.5376
86,Draw,532571.4467
87,Draw,460067.4067
88,Draw,256078.5999
0,Observed,326977.0457
1,Observed,73947.48017
2,Observed,29463.16686
3,Observed,21128.2939
4,Observed,17749.02629
5,Observed,15789.70144
6,Observed,14667.58019
7,Observed,13906.76754
8,Observed,13601.20371
9,Observed,13319.89916
10,Observed,13324.0284
11,Observed,13388.03164
12,Observed,13576.94441
13,Observed,13887.15364
14,Observed,14212.84753
15,Observed,14649.51476
16,Observed,15177.54146
17,Observed,15761.82906
18,Observed,16379.66674
19,Observed,17138.41478
20,Observed,17935.87445
21,Observed,18823.66126
22,Observed,19757.90204
23,Observed,20853.69937
24,Observed,21945.36746
25,Observed,23204.78597
26,Observed,24513.23921
27,Observed,25934.73042
28,Observed,27499.71276
29,Observed,29177.73307
30,Observed,30956.40364
31,Observed,32837.27291
32,Observed,35050.54609
33,Observed,37178.13752
34,Observed,39601.48583
35,Observed,42198.26226
36,Observed,44930.7875
37,Observed,47861.00014
38,Observed,51113.80974
39,Observed,54565.85522
40,Observed,58102.55014
41,Observed,62200.82183
42,Observed,66210.831
43,Observed,70775.19077
44,Observed,75565.62649
45,Observed,80761.76014
46,Observed,86191.1959
47,Observed,92121.30213
48,Observed,98391.55459
49,Observed,105152.6706
50,Observed,112239.4804
51,Observed,119887.3509
52,Observed,128148.4137
53,Observed,136733.1058
54,Observed,146066.7389
55,Observed,155852.5239
56,Observed,166346.4738
57,Observed,177489.7468
58,Observed,189380.4124
59,Observed,201636.5158
60,Observed,215144.2955
61,Observed,229241.5242
62,Observed,243769.7425
63,Observed,259622.9311
64,Observed,275881.3014
65,Observed,293203.9835
66,Observed,311321.5446
67,Observed,330360.9587
68,Observed,350061.0513
69,Observed,370410.4671
70,Observed,391617.7328
71,Observed,413909.9565
72,Observed,435804.2246
73,Observed,458798.4193
74,Observed,481785.9039
75,Observed,504867.3288
76,Observed,527410.4039
77,Observed,549646.3667
78,Observed,570408.7066
79,Observed,589137.3953
80,Observed,605635.7777
81,Observed,617924.399
82,Observed,625092.2452
83,Observed,625310.0627
84,Observed,615800.4206
85,Observed,591174.6596
86,Observed,547141.4659
87,Observed,469199.4612
88,Observed,156078.5999