idnum,idchar,name,plate,wgbs_fq1,wgbs_fq2
JRIAL2-1 ,JRIAL2-A,PC_I11_ID2.e6,A1,JRA1_CTTGTA_R1.fastq.gz,JRA1_CTTGTA_R2.fastq.gz
JRIAL2-2,JRIAL2-B,PC_I50_ID2.e6,B1,JRB1_NoIndex_R1.fastq.gz,JRB1_NoIndex_R2.fastq.gz
JRIAL2-3,JRIAL2-C,PC_I55_ID2.e6,C1,JRC1_AGTTCC_R1.fastq.gz,JRC1_AGTTCC_R2.fastq.gz
JRIAL2-4,JRIAL2-D,PC_I58_ID2.e6,D1,JRD1_ATGTCA_R1.fastq.gz,JRD1_ATGTCA_R2.fastq.gz
JRIAL2-5,JRIAL2-E,PC_J07_ID2.e6,E1,JRE1_CCGTCC_R1.fastq.gz,JRE1_CCGTCC_R2.fastq.gz
JRIAL2-6,JRIAL2-F,PC_J14_ID2.e6,F1,JRF1_NoIndex_R1.fastq.gz,JRF1_NoIndex_R2.fastq.gz
JRIAL2-7,JRIAL2-G,PC_J48_ID2.e6,G1,JRG1_GTGAAA_R1.fastq.gz,JRG1_GTGAAA_R2.fastq.gz
JRIAL2-8,JRIAL2-H,PC_K55_ID2.e6,H1,JRH1_CGATGT_R1.fastq.gz,JRH1_CGATGT_R2.fastq.gz
JRIAL2-9,JRIAL2-I,PC_L06_ID2.e6,A2,JRA2_TGACCA_R1.fastq.gz,JRA2_TGACCA_R2.fastq.gz
JRIAL2-10,JRIAL2-J,PC_L12_ID2.C,B2,JRB2_NoIndex_R1.fastq.gz,JRB2_NoIndex_R2.fastq.gz
JRIAL2-11,JRIAL2-K,PC_L48_ID2.e6,C2,JRC2_GCCAAT_R1.fastq.gz,JRC2_GCCAAT_R2.fastq.gz
JRIAL2-12,JRIAL2-L,PC_N03_ID2.e6,D2,JRD2_CAGATC_R1.fastq.gz,JRD2_CAGATC_R2.fastq.gz
JRIAL2-13,JRIAL2-M,PC_N07_ID2.e6,E2,JRE2_CTTGTA_R1.fastq.gz,JRE2_CTTGTA_R2.fastq.gz
JRIAL2-14,JRIAL2-N,PC_N10_ID2.e6,F2,JRF2_AGTCAA_R1.fastq.gz,JRF2_AGTCAA_R2.fastq.gz
JRIAL2-15,JRIAL2-O,PC_N14_ID2.e6,G2,JRG2_AGTTCC_R1.fastq.gz,JRG2_AGTTCC_R2.fastq.gz
JRIAL2-16,JRIAL2-P,PC_N57_ID2.e6,H2,JRH2_ATGTCA_R1.fastq.gz,JRH2_ATGTCA_R2.fastq.gz
JRIAL2-17,JRIAL2-Q,PC_N58_ID2.e6,A3,JRA3_CCGTCC_R1.fastq.gz,JRA3_CCGTCC_R2.fastq.gz
JRIAL2-18,JRIAL2-R,PC_O08_ID2.e7,B3,JRB3_GTCCGC_R1.fastq.gz,JRB3_GTCCGC_R2.fastq.gz
JRIAL2-19,JRIAL2-S,PC_O51_ID2.e6,C3,JRC3_GTGAAA_R1.fastq.gz,JRC3_GTGAAA_R2.fastq.gz
JRIAL2-20,JRIAL2-T,PC_O59_ID2.e6,D3,JRD3_NoIndex_R1.fastq.gz,JRD3_NoIndex_R2.fastq.gz